"NOMBRE","CAPACIDAD","FECHAINAUGURACION"
"Nuevo Los Cármenes",194,"16 de mayo de 1995"
"La Romareda",3360,"8 de septiembre de 1957 (64 años)"
"Camp Nou",993,"24 de septiembre de 1957 (64 años)"
"Abanca-Riazor",3488,"28 de octubre de 1944 (77 años)"
"Wanda Metropolitano",0,"4 de septiembre de 1994(Estadio de Madrid)16 de septiembre de 2017(Estadio Metropolitano)"
"Ciudad de Valencia",2635,"1969"
"Virgen de las Nieves",0,"null"
"Campo de fútbol Luis Oliver",0,"null"
"Municipal El Molinón-Enrique Castro Quini",300,"c. 1908[2]​"
"Benito Villamarín",607,"17 de marzo de 1929 (92 años)"
"Nuevo Castalia",155,"17 de junio de 1987"
"Santiago Bernabéu",810,"14 de diciembre de 1947 (74 años)[3]​"
"Balaídos",2900,"30 de diciembre de 1928 (93 años)"
"RCDE Stadium",405,"2 de agosto de 2009 (12 años)"
"Estadio Vivar Téllez",300,"18 de julio de 1951"
"San Mamés",533,"16 de septiembre de 2013 (8 años)[5]​"
"Pallafría",0,"null"
"Son Moix",2050,"3 de julio de 1999"
"Campo de Fútbol de Vallecas",1470,"6 de junio de 1976 (45 años)"
"Nuevo Lasesarre",796,"30 de septiembre de 2003"
"Municipal de Pasarón",1200,"1965"
"Narcís Sala",657,"19 de marzo de 1970"
"Nou Estadi",1459,"2 de febrero de 1972 (50 años)"
"Martínez Valero",3373,"8 de septiembre de 1976 (45 años)"
"Municipal Reino de León",1345,"20 de mayo de 2001 (20 años)"
"Ramón Sánchez-Pizjuán",438,"7 de septiembre de 1958 (63 años)"
"Heliodoro Rodríguez López",229,"25 de julio de 1925 (96 años)"
"José Zorrilla",2761,"20 de febrero de 1982 (40 años)"
"José Rico Pérez",3000,"3 de agosto de 1974 (47 años)"
"Enrique Roca de Murcia",3117,"11 de octubre de 2006 (15 años)"
"Ramón de Carranza",2072,"3 de septiembre de 1955"
"Nova Creu Alta",1198,"20 de agosto de 1967"
"Nuevo Arcángel",218,"7 de noviembre de 1993[4]​"
"Las Gaunas",1666,"28 de febrero de 2002"
"El Sadar",235,"2 de septiembre de 1967 (54 años)"
"El Sardinero",0,"null"
"Pistas del Helmántico",1734,"8 de abril de 1970 (51 años)"
"Nuevo Colombino",2167,"8 de noviembre de 2001"
"Mendizorroza",1984,"27 de abril de 1924 (97 años)"
"Olímpic de Terrassa",115,"1960"
"Ciudad de Puertollano",724,"Noviembre de 2010"
"La Victoria",1256,"29 de agosto de 2001"
"Cerro del Espino",380,"1995Reformado en 2018"
"A Malata",1204,"29 de agosto de 1993"
"Nuevo Mirador",730,"1999"
"Municipal Alfonso Murube",650,"1933[1]​"
"Cartagonova",1510,"7 de febrero de 1988"
"Municipal de Chapín",2052,"28 de junio de 1988 (33 años)"
"Las Llanas",436,"9 de septiembre de 1923 (98 años)"
"Carlos Belmonte",1800,"9 de septiembre de 1960"
"Municipal de Vilatenim",0,"null"
"Camp dEsports",0,"null"
"Municipal de Ipurúa",81,"14 de septiembre de 1947"
"Nou Estadi de Palamós",0,"null"
"Suárez Puerta",540,"26 de septiembre de 1943"
"Romano",1453,"24 de mayo de 1953 (68 años)"
"Multiusos de San Lázaro",120,"24 de junio de 1993"
"Nuevo Vivero",1489,"2 de diciembre de 1998 (23 años)"
"Anxo Carro",71,"31 de agosto de 1974"
"El Madrigal",0,"null"
"Municipal de Butarque",1245,"14 de febrero de 1998 (24 años)"
"Francisco de la Hera",1158,"Antiguo: 12 de octubre de 1951 (70 años)"
"Juegos Mediterráneos",152,"31 de julio de 2004"
"Nuevo Los Pajaritos",82,"14 de enero de 1999 (23 años)"
"Gran Canaria",323,"8 de mayo de 2003 (18 años)"
"El Toralín",843,"5 de septiembre de 2000 (21 años)"
"Municipal de Montilivi",1128,"14 de agosto de 1970 51 años"
"El Alcoraz",912,"16 de enero de 1972"
"Municipal de La Salud",0,"null"
"Santo Domingo",51,"1999"
"Pedro Escartín",650,"17 de septiembre de 1967"
"El Collao",485,"1921"
"Municipal de Anduva",575,"22 de enero de 1950 (72 años)"
"O Couto",565,"29 de agosto de 1948 (73 años)"
"Antonio Franco Navarro",2058,"1976"
"Estadio Fco. Artés Carrasco",812,"6 de marzo de 2003"
"Municipal de Sto. Domingo",787,"2001"
"Estadio Municipal de Linarejos",1000,"15 de agosto de 1956"
"Estadio de Santa Bárbara",0,"null"
"Nuevo La Balastera",810,"10 de octubre de 2006"
"Estadio Luis Suñer Picó",0,"null"
"Campo Municipal de Deportes de Mollerusa - Mollerusa - Lérida - España",0,"null"
"Los Arcos",0,"null"
"Estadio Municipal Antonio Lorenzo Cuevas",70,"1975"
"Salto del Caballo",0,"null"
"San Pablo",350,"1986"
"Estadio La Victoria",0,"null"
"Municipal de Vecindario",600,"1987"
